ID;Date Entry;Date Exit;Dias;Account;Strategy;Asset Type;Symbol;Side;Quantity;Risk[USD];Price Entry;Target Exit;Stoploss;Retorno;Spread;Risk/Reward;State;Total
30;20/09/2018 17:00;3/12/2018 17:00;74.00;54541;D1;FOREX;NZD_JPY;Long;10000;3000;75.23;78.565;72.232; $ 3,337.22 ;6.58;1.112408272;Closed; $ 206,616.25
31;27/09/2018 4:00;3/10/2018 12:00;6.33;54541;W1;FOREX;EUR_USD;Short;10000;3000;1.16742;1.14902;1.18164; $ 3,881.86 ;1.97;1.29395218;Closed; $ 210,498.10
32;28/09/2018 17:00;2/10/2018 17:00;4.00;54541;D1;FOREX;EUR_CAD;Short;10000;3000;1.51108;1.47829;1.53294; $ 4,500.00 ;3.94;1.5;Closed; $ 214,998.10
33;18/10/2018 17:00;7/11/2018 17:00;20.00;54541;D1;FOREX;EUR_NZD;Short;10000;3000;1.75036;1.68624;1.7931; $ 4,500.70 ;6.86;1.500233973;Closed; $ 219,498.81
34;30/10/2018 17:00;7/11/2018 17:00;8.00;54541;W1;FOREX;AUD_JPY;Long;10000;3000;80.348;82.269;78.513; $ 3,140.60 ;1.42;1.046866485;Closed; $ 222,639.41
35;30/10/2018 17:00;6/11/2018 17:00;7.00;54541;D1;FOREX;AUD_JPY;Long;10000;3000;80.35;81.961;79.277; $ 4,504.19 ;2.28;1.50139795;Closed; $ 227,143.60
36;1/11/2018 17:00;3/01/2019 17:00;63.00;54541;D1;FOREX;EUR_AUD;Short;10000;3000;1.58346;1.63638;1.63638;-$ 3,000.00 ;9.54;-1;Closed; $ 224,143.60
37;14/11/2018 17:00;19/12/2018 17:00;35.00;54541;D1;CFD;USB10Y_USD;Long;10000;3000;118.79;121.365;117.503; $ 6,002.33 ;8.63;2.000777001;Closed; $ 230,145.93
38;23/11/2018 9:00;30/11/2018 9:00;7.00;54541;W1;FOREX;AUD_NZD;Long;10000;3000;1.06725;1.06234;1.06234;-$ 3,000.00 ;1.87;-1;Closed; $ 227,145.93
39;28/11/2018 17:00;3/12/2018 17:00;5.00;54541;W1;FOREX;EUR_CAD;Long;10000;3000;1.50911;1.49452;1.49452;-$ 3,000.00 ;4.15;-1;Closed; $ 224,145.93
